Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      2.513274      2.379612E-01     -3.899952E-02      1.989617E-01
      2.544690      2.381171E-01     -4.258816E-02      1.955290E-01
      2.576106      2.382693E-01     -4.608860E-02      1.921807E-01
      2.607522      2.384169E-01     -4.948701E-02      1.889299E-01
      2.638938      2.385596E-01     -5.277000E-02      1.857896E-01
      2.670354      2.386967E-01     -5.592459E-02      1.827721E-01
      2.701770      2.388277E-01     -5.893835E-02      1.798893E-01
      2.733186      2.389520E-01     -6.179937E-02      1.771526E-01
      2.764602      2.390692E-01     -6.449637E-02      1.745728E-01
      2.796017      2.391788E-01     -6.701870E-02      1.721601E-01
      2.827433      2.392804E-01     -6.935640E-02      1.699240E-01
      2.858849      2.393736E-01     -7.150027E-02      1.678733E-01
      2.890265      2.394580E-01     -7.344182E-02      1.660161E-01
      2.921681      2.395332E-01     -7.517340E-02      1.643598E-01
      2.953097      2.395990E-01     -7.668817E-02      1.629109E-01
      2.984513      2.396552E-01     -7.798016E-02      1.616750E-01
      3.015929      2.397014E-01     -7.904427E-02      1.606571E-01
      3.047345      2.397376E-01     -7.987630E-02      1.598613E-01
      3.078761      2.397635E-01     -8.047296E-02      1.592905E-01
      3.110177      2.397791E-01     -8.083190E-02      1.589472E-01
      3.141593      2.397843E-01     -8.095170E-02      1.588326E-01
__________________________________
Energy=0.900000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      0.000000      2.178754E-01     -9.390806E-02      1.239673E-01
      0.031416      2.178675E-01     -9.376908E-02      1.240984E-01
      0.062832      2.178439E-01     -9.335269E-02      1.244912E-01
      0.094248      2.178047E-01     -9.266054E-02      1.251442E-01
      0.125664      2.177501E-01     -9.169534E-02      1.260547E-01
      0.157080      2.176802E-01     -9.046092E-02      1.272193E-01
      0.188496      2.175954E-01     -8.896215E-02      1.286332E-01
      0.219911      2.174959E-01     -8.720493E-02      1.302909E-01
      0.251327      2.173821E-01     -8.519621E-02      1.321859E-01
      0.282743      2.172546E-01     -8.294392E-02      1.343107E-01
      0.314159      2.171138E-01     -8.045693E-02      1.366569E-01
      0.345575      2.169603E-01     -7.774507E-02      1.392152E-01
